speaker_id,utt_id
0003db1a5ec04d0a584333c7573c8f18eacda278e65ddbfb92a8b3190af179488c6148971575e64d92995121a3f54df50e3865e87126f86a9095480291c81779,common_voice_en_490429.mp3
0003db1a5ec04d0a584333c7573c8f18eacda278e65ddbfb92a8b3190af179488c6148971575e64d92995121a3f54df50e3865e87126f86a9095480291c81779,common_voice_en_490440.mp3
0003db1a5ec04d0a584333c7573c8f18eacda278e65ddbfb92a8b3190af179488c6148971575e64d92995121a3f54df50e3865e87126f86a9095480291c81779,common_voice_en_490446.mp3
0003db1a5ec04d0a584333c7573c8f18eacda278e65ddbfb92a8b3190af179488c6148971575e64d92995121a3f54df50e3865e87126f86a9095480291c81779,common_voice_en_490448.mp3
0003db1a5ec04d0a584333c7573c8f18eacda278e65ddbfb92a8b3190af179488c6148971575e64d92995121a3f54df50e3865e87126f86a9095480291c81779,common_voice_en_490453.mp3
0003db1a5ec04d0a584333c7573c8f18eacda278e65ddbfb92a8b3190af179488c6148971575e64d92995121a3f54df50e3865e87126f86a9095480291c81779,common_voice_en_490456.mp3
0003db1a5ec04d0a584333c7573c8f18eacda278e65ddbfb92a8b3190af179488c6148971575e64d92995121a3f54df50e3865e87126f86a9095480291c81779,common_voice_en_490471.mp3
0003db1a5ec04d0a584333c7573c8f18eacda278e65ddbfb92a8b3190af179488c6148971575e64d92995121a3f54df50e3865e87126f86a9095480291c81779,common_voice_en_490500.mp3
0003db1a5ec04d0a584333c7573c8f18eacda278e65ddbfb92a8b3190af179488c6148971575e64d92995121a3f54df50e3865e87126f86a9095480291c81779,common_voice_en_490507.mp3
0003db1a5ec04d0a584333c7573c8f18eacda278e65ddbfb92a8b3190af179488c6148971575e64d92995121a3f54df50e3865e87126f86a9095480291c81779,common_voice_en_490513.mp3
0003db1a5ec04d0a584333c7573c8f18eacda278e65ddbfb92a8b3190af179488c6148971575e64d92995121a3f54df50e3865e87126f86a9095480291c81779,common_voice_en_490529.mp3
0003db1a5ec04d0a584333c7573c8f18eacda278e65ddbfb92a8b3190af179488c6148971575e64d92995121a3f54df50e3865e87126f86a9095480291c81779,common_voice_en_490531.mp3
00309ae51fe07824676d5a3b39837b0a8927c064b7a054f3083f6f9cf7741987f8c92cb60c4c93e86a4e1be11dad46b92285584802bbe6a0fd618ca0f44b2959,common_voice_en_25008040.mp3
00309ae51fe07824676d5a3b39837b0a8927c064b7a054f3083f6f9cf7741987f8c92cb60c4c93e86a4e1be11dad46b92285584802bbe6a0fd618ca0f44b2959,common_voice_en_25015820.mp3
00309ae51fe07824676d5a3b39837b0a8927c064b7a054f3083f6f9cf7741987f8c92cb60c4c93e86a4e1be11dad46b92285584802bbe6a0fd618ca0f44b2959,common_voice_en_25017434.mp3
00309ae51fe07824676d5a3b39837b0a8927c064b7a054f3083f6f9cf7741987f8c92cb60c4c93e86a4e1be11dad46b92285584802bbe6a0fd618ca0f44b2959,common_voice_en_25027645.mp3
00309ae51fe07824676d5a3b39837b0a8927c064b7a054f3083f6f9cf7741987f8c92cb60c4c93e86a4e1be11dad46b92285584802bbe6a0fd618ca0f44b2959,common_voice_en_25074558.mp3
00309ae51fe07824676d5a3b39837b0a8927c064b7a054f3083f6f9cf7741987f8c92cb60c4c93e86a4e1be11dad46b92285584802bbe6a0fd618ca0f44b2959,common_voice_en_25109465.mp3
00309ae51fe07824676d5a3b39837b0a8927c064b7a054f3083f6f9cf7741987f8c92cb60c4c93e86a4e1be11dad46b92285584802bbe6a0fd618ca0f44b2959,common_voice_en_25109495.mp3
00309ae51fe07824676d5a3b39837b0a8927c064b7a054f3083f6f9cf7741987f8c92cb60c4c93e86a4e1be11dad46b92285584802bbe6a0fd618ca0f44b2959,common_voice_en_25172545.mp3
