feature,within_var,between_var,F_ratio_pooled,q_max_pooled,anova_F,anova_p,F_ratio_male,F_ratio_female,F_ratio_within_sex,q_max_male,q_max_female
F0,168.29410505547355,1609.6479051756726,9.56449368589052,3.0,95.64493685890436,0.0,1.3664443844980876,3.413160748767305,2.3898025666326963,2.0,2.0
F4,6900.01357321878,42371.37014259925,6.140766201831321,3.0,61.40766201831392,0.0,2.616428003401688,2.473336672831738,2.5448823381167127,2.0,2.0
F5,9120.730586570693,44695.239416061704,4.900401233413329,3.0,48.97707623684216,0.0,5.232327681649214,3.358796801095926,4.29556224137257,3.0,2.0
GCT,9.4281895135652e-09,3.742724247420486e-08,3.969716817884797,2.0,39.69716817884788,0.0,2.3482909653736477,0.9104143734041278,1.6293526693888878,2.0,
RMS,5.434898095869008e-06,1.899966479788346e-05,3.4958640369586407,2.0,34.95864036958647,0.0,3.4813136494962196,3.539932385890934,3.510623017693577,2.0,2.0
VFP,0.0035724310307806905,0.011381827785151408,3.186017500991227,2.0,31.86017500991228,0.0,3.1804908643078518,0.5369324863499315,1.8587116753288917,2.0,
B1,2802.8842966720927,7815.857117080721,2.788505086121681,2.0,27.88505086121685,0.0,1.7360442368904712,0.6075728788111904,1.1718085578508308,2.0,
CPP,0.03827983843349031,0.10121729641321238,2.644141160341452,2.0,26.441411603414565,0.0,1.8205288705122893,1.1527151473412243,1.4866220089267568,2.0,
MFDR,5875.6279133734815,14634.33306613001,2.4906841076203774,2.0,24.90684107620381,0.0,2.3167904094163383,3.0008466099440883,2.6588185096802133,2.0,2.0
SHR,0.00025810841711314264,0.0006117280059964264,2.3700428402854974,2.0,23.700428402855,0.0,1.1620420706814094,1.8493416235886408,1.5056918471350251,,2.0
CQ,0.00023792162976982934,0.0005597896347882459,2.352832045282301,2.0,23.528320452823007,0.0,1.8294845031359492,1.2147196263563276,1.5221020647461385,2.0,
spectral_flux,1.2862260700069649e-05,2.8434602515364182e-05,2.2107002165809164,2.0,22.107002165809224,0.0,1.365049293078114,1.3536715087930533,1.3593604009355835,,
B4,9033.774055980108,18058.269080397033,1.9989728510470062,2.0,19.989728510470048,0.0,1.8001314219998557,1.0539306400556916,1.4270310310277736,2.0,
dCPP,0.002370230745985359,0.0045860198098152775,1.9348410772170472,2.0,19.348410772170467,0.0,1.69279377903148,1.693305236229695,1.6930495076305876,2.0,2.0
B5,20273.569431410946,33169.2640387751,1.636084072466497,2.0,16.36450080547836,0.0,2.251990472449725,0.6593182704106613,1.455654371430193,2.0,
shimmer,0.00020830278381147875,0.0003211639732697414,1.5418131596378757,2.0,15.418131596378752,0.0,0.7634695860181799,0.649379524233049,0.7064245551256145,,
F3,11378.280016396937,17354.17020012313,1.5252015396979595,,15.2520153969796,0.0,0.8967161220203604,1.063621847521646,0.9801689847710031,,
NAQ,0.0002527173238519705,0.0003516496065781114,1.3914740834470478,2.0,13.914740834470468,0.0,1.0853187682716348,1.3711211864944801,1.2282199773830573,,
alpha_ratio,2.1501973817049174,2.861820620827369,1.3309571694102784,,13.309571694102797,0.0,1.3695972474251161,1.0858467356007817,1.227721991512949,,
spectral_entropy,0.0010012192689128126,0.001223685928406085,1.2221957431311135,,12.221957431311163,0.0,0.7964472295119877,0.6443788656331919,0.7204130475725898,,
SQ,3.801313866373537,4.209930950100799,1.1074936451162039,2.0,11.074936451162056,0.0,0.6178100730480292,0.5885992514211527,0.6032046622345909,,
B3,7500.3611471069,7625.637818262799,1.0167027518673846,,10.167027518673855,0.0,1.0062516796288938,1.0425107325030767,1.0243812060659852,,
F1,1771.5876579341582,1707.4422169534796,0.9637921156803054,,9.637921156803047,0.0,1.0505533731744883,0.5819366630798787,0.8162450181271834,,
jitter,1.2455611699199992e-05,1.1951186505518579e-05,0.9595021741313747,,9.595021741313722,0.0,0.858220782258037,0.5425568677740799,0.7003888250160584,,
spectral_kurtosis,2.6188430947109587,2.3997628480297775,0.9163446458004155,,9.163446458004161,0.0,0.8055134851016713,0.8818725122897292,0.8436929986957002,,
